event_id,device_id,timestamp,longitude,latitude,city,state,gender,age,new_group,phone_brand,device_model
2765368,2973347786994914304,2016-05-07 22:52:05,77.22567599999998,28.73014,Delhi,Delhi,M,35,"(30, 40]",Youmi,UIMI3
1700164,14470491706123026,2016-05-07 22:42:50,94.131362,25.765812,Kohima,Nagaland,F,42,"(40, 50]",Huawei,荣耀7
1836426,3872521790238090752,2016-05-01 20:29:14,71.294802,21.661309,Amreli,Gujarat,M,20,"(10, 20]",Coolpad,8702
2319906,-49730763913378432,2016-05-01 10:31:53,80.317379,13.176652,Chennai,TamilNadu,M,31,"(30, 40]",Samsung,K860i
182668,8765877367300380672,2016-05-04 18:34:20,75.930756,22.802167,Indore,MadhyaPradesh,F,32,"(30, 40]",Samsung,Galaxy Grand 2
1282493,-20498131998947776,2016-05-06 12:44:06,86.66720500000002,26.202617,Supaul,Bihar,F,23,"(20, 30]",Xiaomi,MI 3
2053896,-6254526605737531,2016-05-02 14:28:02,77.29105799999998,28.714736,Delhi,Delhi,M,36,"(30, 40]",Samsung,Galaxy S6
1093848,-1180228997135426560,2016-05-07 15:08:54,83.336929,17.809973,Visakhapatnam,AndhraPradesh,F,35,"(30, 40]",Samsung,Galaxy Ace 2
2060215,27287788374990140,2016-05-07 19:39:47,80.360389,13.168106,Chennai,TamilNadu,M,26,"(20, 30]",Xiaomi,红米
2742349,-268295479157442720,2016-05-06 10:53:24,86.54131699999998,25.416015,Munger,Bihar,M,20,"(10, 20]",vivo,X5Max+
2120949,-4051268072190288384,2016-05-05 20:49:49,77.641865,13.033248,Bangalore,Karnataka,F,25,"(20, 30]",Xiaomi,MI 2
1876942,728578686467596544,2016-05-01 04:48:23,87.395537,22.42189500000001,Kharagpur,WestBengal,F,21,"(20, 30]",Samsung,Galaxy A5
1392728,3045621961539872768,2016-05-03 19:40:12,75.017945,28.057463,Fatehpur,Rajasthan,M,40,"(30, 40]",OPPO,U707T
2631989,-18413620249632024,2016-05-01 03:14:21,91.28895,23.87717300000001,Agartala,Tripura,M,20,"(10, 20]",Xiaomi,红米
36896,-27977898975666620,2016-05-05 08:36:06,77.37672599999998,28.243589,Palwal,Haryana,F,47,"(40, 50]",vivo,Y11IT
1492216,-6857195135381246,2016-05-02 01:30:56,72.849357,18.973144,Mumbai,Maharashtra,M,31,"(30, 40]",Samsung,Galaxy A7
938368,22403893394959604,2016-05-07 20:04:56,75.937352,22.770707,Indore,MadhyaPradesh,F,27,"(20, 30]",vivo,Y913
662615,-1715254815612633344,2016-05-06 12:35:37,85.20201,25.66568800000001,Phulwari,Bihar,M,24,"(20, 30]",Huawei,Mate 7
1371668,-15268716146291844,2016-05-02 14:22:26,75.946201,22.790444,Indore,MadhyaPradesh,M,24,"(20, 30]",OPPO,R821T
1809858,-454188019495185920,2016-05-06 19:51:42,72.89165,18.974597,Mumbai,Maharashtra,M,33,"(30, 40]",Meizu,PRO5
3049639,-1367859750822199552,2016-05-03 00:00:46,75.921014,22.749997,Indore,MadhyaPradesh,M,26,"(20, 30]",Coolpad,7295C
1779736,247071895376064608,2016-05-03 17:28:09,75.837197,26.982275,Jaipur,Rajasthan,M,21,"(20, 30]",HTC,One
3042253,489144457481159168,2016-05-05 01:06:07,77.62343,13.067912,Bangalore,Karnataka,F,25,"(20, 30]",Coolpad,大神F2
3118978,-1105687787495903104,2016-05-04 19:06:57,76.914361,13.76885,Sira,Karnataka,M,35,"(30, 40]",LeEco,超级手机1 Pro
2804345,671187700271966080,2016-05-04 13:06:56,77.078352,10.420043,Valparai,TamilNadu,M,32,"(30, 40]",Xiaomi,E3
3226773,99479029389286800,2016-05-03 08:38:10,72.85632299999997,19.05524,Mumbai,Maharashtra,M,41,"(40, 50]",Huawei,荣耀畅玩5X
2689934,489270407523089152,2016-05-04 01:04:15,77.307486,28.725134000000004,Delhi,Delhi,M,23,"(20, 30]",vivo,Y13L
1918641,-266249525016581504,2016-05-02 23:54:29,80.33546799999998,13.106138,Chennai,TamilNadu,F,35,"(30, 40]",Huawei,Mate 8
1293483,-1149999182907070464,2016-05-05 19:15:20,72.85134000000002,19.027604,Mumbai,Maharashtra,M,34,"(30, 40]",Samsung,G3818
1731754,2940446635257859,2016-05-02 21:27:01,77.747175,25.446868,Shivapuri,MadhyaPradesh,M,21,"(20, 30]",Xiaomi,红米note
1310323,-951773725286109184,2016-05-03 11:45:15,75.95711,22.743242,Indore,MadhyaPradesh,M,27,"(20, 30]",Samsung,Galaxy Grand DUOS
1607697,-164535170146438528,2016-05-05 12:23:04,78.45769200000002,27.227874,Firozabad,UttarPradesh,M,30,"(20, 30]",Meizu,魅蓝Note 2
1870683,-1328789920050419200,2016-05-01 07:00:39,78.908951,17.607547,Bhongir,AndhraPradesh,F,79,"(70, 80]",Coolpad,大神F2
2574360,11932936323971932,2016-05-01 07:53:29,77.230149,28.730801000000003,Delhi,Delhi,M,36,"(30, 40]",OPPO,R7
2978106,1161112711462272512,2016-05-01 17:11:18,80.285741,13.107005,Chennai,TamilNadu,F,44,"(40, 50]",Samsung,Galaxy Note 2
2638423,-822137105267997,2016-05-06 05:33:27,85.563804,26.685772,Sitamarhi,Bihar,F,28,"(20, 30]",酷比魔方,TALK 7X四核
910928,-967151454128511232,2016-05-04 20:13:28,72.84987,19.02751300000001,Mumbai,Maharashtra,F,50,"(40, 50]",Xiaomi,红米note
1371545,203614020819357920,2016-05-02 14:24:56,75.87469300000002,22.806684,Indore,MadhyaPradesh,M,57,"(50, 60]",Xiaomi,红米Note2
2369469,-27779971097986720,2016-05-04 15:01:08,72.90147099999999,19.045159,Mumbai,Maharashtra,M,31,"(30, 40]",vivo,Y22L
743082,5038733072524900,2016-05-06 18:04:30,77.25139499999997,28.721299,Delhi,Delhi,M,43,"(40, 50]",Coolpad,8730L
2352936,-2876036734607908,2016-05-04 19:21:47,88.458629,22.613523,Calcutta,WestBengal,F,45,"(40, 50]",Huawei,荣耀3C
387228,1045738054677517696,2016-05-01 21:34:51,77.24874299999998,28.720776,Delhi,Delhi,M,31,"(30, 40]",Meizu,MX5
3231528,-5900967777424086,2016-05-01 11:01:36,74.357556,29.631228000000004,Hanumangarh,Rajasthan,F,37,"(30, 40]",Xiaomi,红米note
763185,-2568866871668295,2016-05-01 09:31:59,88.41986299999998,22.66652,Calcutta,WestBengal,M,37,"(30, 40]",Xiaomi,红米
1542415,65770985477672264,2016-05-02 16:07:42,75.947327,22.787895,Indore,MadhyaPradesh,M,30,"(20, 30]",vivo,Y23L
1502764,-4496984528158017,2016-05-07 11:36:27,72.88949299999999,19.048552,Mumbai,Maharashtra,M,29,"(20, 30]",Huawei,荣耀6
2617413,10068398714301654,2016-05-04 15:32:10,77.29743599999998,28.702655,Delhi,Delhi,M,31,"(30, 40]",Samsung,Galaxy Note 3
874753,-137006235633337008,2016-05-03 15:17:35,77.222831,28.714417,Delhi,Delhi,M,47,"(40, 50]",OPPO,R7
1094985,3472942911939301,2016-05-06 16:43:44,73.88929399999998,18.561131,Pune,Maharashtra,M,24,"(20, 30]",Tianyu,Touch 2
1152081,-153238292866905120,2016-05-02 16:10:45,78.49306999999997,17.428779000000002,Hyderabad,Telangana,M,29,"(20, 30]",Samsung,Galaxy Trend 3
321867,5021105036186737,2016-05-07 21:48:32,77.22086599999999,28.725042,Delhi,Delhi,F,50,"(40, 50]",Huawei,荣耀6 Plus
1821586,-74059971287237408,2016-05-06 07:57:24,77.301035,28.713172,Delhi,Delhi,M,28,"(20, 30]",Samsung,Galaxy Note 3
1548628,-1364213210730105,2016-05-04 12:41:59,76.934556,14.755911,Rayadrug,AndhraPradesh,F,23,"(20, 30]",Huawei,Ascend P8
1322117,1138187655496362624,2016-05-06 21:37:50,78.59070799999998,17.467232,LalbahadurNagar,AndhraPradesh,F,30,"(20, 30]",OPPO,A53
2275012,-1870074800027757568,2016-05-03 22:11:46,80.586061,16.135120999999998,Ponnur,AndhraPradesh,F,26,"(20, 30]",Samsung,Galaxy Win
2941814,-32253783147801944,2016-05-02 12:06:04,74.304305,17.127412,UranIslampur,Maharashtra,M,39,"(30, 40]",vivo,S7I
73801,-23465704081810388,2016-05-02 07:20:45,77.382515,10.086939,Bodinayakkanur,TamilNadu,M,22,"(20, 30]",OPPO,R3
2392364,-16712168703027990,2016-05-07 09:40:07,93.693305,27.220364,Itanagar,ArunachalPradesh,M,30,"(20, 30]",Samsung,Galaxy S4
931919,7409327892797432,2016-05-02 16:55:51,77.27735,28.719447,Delhi,Delhi,M,33,"(30, 40]",LeEco,超级手机1
2270880,456613706964621,2016-05-03 18:26:54,77.594507,13.366088,DodBallapur,Karnataka,M,20,"(10, 20]",Huawei,荣耀畅玩4
3133661,-28492619212284472,2016-05-07 07:16:12,83.31573399999998,17.811331,Visakhapatnam,AndhraPradesh,F,40,"(30, 40]",Xiaomi,红米note
2276166,5212312893329729,2016-05-02 23:23:17,88.383117,22.605519,Calcutta,WestBengal,M,30,"(20, 30]",Huawei,荣耀6 Plus
1094443,1438236443386082048,2016-05-03 16:18:16,72.837595,18.994862,Mumbai,Maharashtra,M,25,"(20, 30]",Meizu,MX4 Pro
1213451,-127044993231687840,2016-05-02 22:09:22,80.729454,27.655146,Sitapur,UttarPradesh,M,42,"(40, 50]",OPPO,R811
225051,3438579031794104320,2016-05-07 11:04:39,77.603925,13.005744,Bangalore,Karnataka,F,25,"(20, 30]",Samsung,Galaxy Note 2
1365817,30456242384979664,2016-05-07 10:13:12,75.84398,26.982180000000003,Jaipur,Rajasthan,M,28,"(20, 30]",Huawei,荣耀畅玩4X
2538652,719229544334538496,2016-05-02 21:12:00,82.21526700000003,27.46417000000001,Balrampur,UttarPradesh,M,28,"(20, 30]",HTC,Desire HD
2454137,70646393776172816,2016-05-04 14:18:16,72.88967899999999,19.043364,Mumbai,Maharashtra,M,41,"(40, 50]",Samsung,Galaxy Note 4
1398665,358226278280897344,2016-05-01 16:59:05,75.252899,30.836256,Moga,Punjab,F,24,"(20, 30]",Xiaomi,MI 3
2903480,1337417927706056192,2016-05-04 09:53:06,75.91728,22.794318,Indore,MadhyaPradesh,F,49,"(40, 50]",Xiaomi,红米2
2397132,-1438495210756671488,2016-05-05 12:45:06,78.62444599999998,17.544241,Alwal,AndhraPradesh,M,27,"(20, 30]",Samsung,Galaxy S5
2071884,396602222988577664,2016-05-04 03:00:47,77.14533999999998,13.354271,Tumkur,Karnataka,F,42,"(40, 50]",Huawei,Ascend P8
1420506,-35544233360914140,2016-05-01 09:08:53,77.05536099999998,11.017761,Kurichi,TamilNadu,M,22,"(20, 30]",OPPO,R7
2888019,31977980132477852,2016-05-04 19:13:26,75.93565500000003,10.817131,Ponnani,Kerala,F,20,"(10, 20]",OPPO,R3
2762560,376220316287536256,2016-05-02 21:53:42,88.415146,22.658261,Calcutta,WestBengal,M,28,"(20, 30]",OPPO,R7
